ID,Raw Text,Task,Person,Deadline,Category,Cleaned Text
1,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
2,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work,daniel has to submit the tax documents by april 15
3,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household,ava needs to clean the garden this afternoon
4,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household,ava needs to clean the garden this afternoon
5,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work,noah should prepare a presentation for the conference
6,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
7,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work,olivia should finalize the budget report before next monday
8,John must submit the report by Monday.,Submit report,John,Monday,Work,john must submit the report by monday
9,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work,noah should prepare a presentation for the conference
10,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
11,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping,rahul has to buy snacks for all of us
12,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
13,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
14,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household,michael should fix the leaking tap by this weekend
15,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
16,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
17,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
18,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
19,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping,rahul has to buy snacks for all of us
20,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work,olivia should finalize the budget report before next monday
21,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
22,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work,charlotte must review the marketing campaign draft by wednesday
23,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings,james is responsible for arranging the conference call
24,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
25,Sarah has to book flight tickets by tomorrow evening.,Book flight tickets,Sarah,Tomorrow evening,Personal,sarah has to book flight tickets by tomorrow evening
26,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household,michael should fix the leaking tap by this weekend
27,Elijah is required to complete the coding assignment by tonight.,Complete coding assignment,Elijah,Tonight,Work,elijah is required to complete the coding assignment by tonight
28,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
29,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
30,John must submit the report by Monday.,Submit report,John,Monday,Work,john must submit the report by monday
31,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
32,Elijah is required to complete the coding assignment by tonight.,Complete coding assignment,Elijah,Tonight,Work,elijah is required to complete the coding assignment by tonight
33,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work,daniel has to submit the tax documents by april 15
34,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
