ID,Raw Text,Task,Person,Deadline,Category,Extracted Task
1,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,,Work,['The manager assigned David to prepare the meeting notes.']
2,Daniel has to submit the tax documents by April 15.,Submit tax documents,,April 15,Work,['Daniel has to submit the tax documents by April 15.']
3,Ava needs to clean the garden this afternoon.,Clean the garden,,this afternoon,Household,['Ava needs to clean the garden this afternoon.']
4,Ava needs to clean the garden this afternoon.,Clean the garden,,this afternoon,Household,['Ava needs to clean the garden this afternoon.']
5,Noah should prepare a presentation for the conference.,Prepare presentation,,,Work,['Noah should prepare a presentation for the conference.']
6,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,,Meetings,['Liam must schedule the meeting with the vendor.']
7,Olivia should finalize the budget report before next Monday.,Finalize budget report,,next Monday,Other,
8,John must submit the report by Monday.,Submit report,John,Monday,Work,['John must submit the report by Monday.']
9,Noah should prepare a presentation for the conference.,Prepare presentation,,,Work,['Noah should prepare a presentation for the conference.']
10,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,,Work,['The manager assigned David to prepare the meeting notes.']
11,Rahul has to buy snacks for all of us.,Buy snacks,,,Shopping,['Rahul has to buy snacks for all of us.']
12,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,,Work,['The manager assigned David to prepare the meeting notes.']
13,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,,Work,['The manager assigned David to prepare the meeting notes.']
14,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,this weekend,Household,['Michael should fix the leaking tap by this weekend.']
15,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,,Meetings,['Liam must schedule the meeting with the vendor.']
16,Emma needs to send the email updates to the team today.,Send email updates,Emma,today,Meetings,['Emma needs to send the email updates to the team today.']
17,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,,Meetings,['Liam must schedule the meeting with the vendor.']
18,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,,Shopping,['Isabella has to buy a birthday gift for Mom.']
19,Rahul has to buy snacks for all of us.,Buy snacks,,,Shopping,['Rahul has to buy snacks for all of us.']
20,Olivia should finalize the budget report before next Monday.,Finalize budget report,,next Monday,Other,
21,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,,Shopping,['Isabella has to buy a birthday gift for Mom.']
